Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-01-23,2552.99,2573.61,2547.14,2558.39,40864378
2013-01-24,2561.17,2571.24,2549.45,2568.63,44572994
2013-01-25,2571.7,2576.66,2533.01,2542.32,34391895
2013-01-28,2534.4,2539.89,2511.5,2521.5,28120036
2013-01-29,2525.08,2525.22,2503.97,2524.36,33039711
2013-01-30,2501.65,2524.19,2490.37,2496.15,48904076
2013-01-31,2499,2503.27,2480.56,2492.76,57208587
2013-02-01,2497.28,2507.45,2493.77,2499.19,43498500
2013-02-04,2511.9,2520.16,2469.73,2469.73,37370824
2013-02-05,2475.86,2485.25,2473.16,2485.25,25052568
2013-02-06,2491.04,2494.26,2455.47,2455.47,56234474
2013-02-07,2458.97,2487.42,2454.2,2467.45,66990414
2013-02-08,2481.34,2500.4,2476.37,2495.42,43248138
2013-02-11,2501.76,2508.47,2489.69,2497.88,44602904
2013-02-12,2492.42,2513.11,2462.43,2470.48,102431436
2013-02-13,2470.45,2480.63,2462.69,2471.21,99134562
2013-02-14,2471.87,2476.36,2443.87,2456.36,52872628
2013-02-15,2448.93,2474.63,2443.72,2467.63,40522382
2013-02-18,2475.15,2485.03,2473.66,2476.01,33332426
2013-02-19,2476.62,2493.83,2470.95,2477.19,42692707
2013-02-20,2468.93,2476.67,2438.72,2443.16,48673223
2013-02-21,2432.27,2436.47,2407.65,2436.47,40654254
2013-02-22,2438.8,2441.02,2423.74,2437.24,35181640
2013-02-25,2440.83,2466.39,2433.7,2454.92,28463216
2013-02-26,2421.67,2433.03,2420.82,2428.57,38177700
2013-02-27,2439.27,2450.36,2431.56,2450.36,29122359
2013-02-28,2458.75,2462.32,2443.26,2452.01,43338280
2013-03-01,2441.18,2453.03,2428.72,2452.86,35545352
2013-03-04,2440.98,2445.8,2432.2,2438.97,32691125
2013-03-05,2450.45,2477.68,2450.16,2477.68,53477898
2013-03-06,2482.25,2498.61,2477.94,2481.36,47545420
2013-03-07,2478.96,2485,2471.46,2474.7,29561629
2013-03-08,2485.48,2505.66,2480.86,2490.7,26154320
2013-03-11,2491.79,2494.14,2476.03,2479.2,20958934
2013-03-12,2480.19,2486.86,2473.77,2482.39,13381898
2013-03-13,2478.34,2484.37,2467.99,2473.95,24118150
2013-03-14,2471.85,2510.5,2470.73,2498.84,38677125
2013-03-15,2513.49,2518.12,2484.55,2486.3,77873753
2013-03-18,2458.58,2468.03,2439.52,2453.9,26893880
2013-03-19,2450.53,2455.39,2419.94,2421.94,21472643
2013-03-20,2428.64,2440.66,2420.21,2422.61,28433618
2013-03-21,2435.54,2435.76,2388.28,2395.82,43184880
2013-03-22,2391.08,2391.84,2367.71,2370.02,64503752
2013-03-25,2401.48,2401.48,2334.87,2339.48,28172996
2013-03-26,2346.5,2356.06,2330.45,2353.41,45081156
2013-03-27,2356.68,2385.27,2341.38,2385.27,37066114
2013-03-28,2368.15,2389.19,2355.28,2370.07,38119170
2013-04-02,2373.73,2382.59,2365.11,2375.67,19024392
2013-04-03,2372.45,2373.55,2325.35,2336.45,30677652
2013-04-04,2336.22,2349.55,2318.03,2342.64,33472158
2013-04-05,2347.74,2361.08,2330.98,2346.37,41114530
2013-04-08,2364.48,2376.85,2344.72,2344.72,32439570
2013-04-09,2357.88,2361.57,2338.26,2347.1,37002869
2013-04-10,2351.58,2382.72,2348.91,2370.51,49278128
2013-04-11,2382.68,2409.02,2373.77,2409.02,33477085
2013-04-12,2403.47,2406.11,2386.89,2397.08,23301304
2013-04-15,2381.83,2394.29,2330.61,2350.08,39359114
2013-04-17,2368.16,2368.16,2297.97,2304.59,60625942
2013-04-18,2296.87,2306.47,2269.22,2269.22,43731530
2013-04-19,2283.21,2287.38,2257.39,2277.71,88934014
2013-04-22,2287.58,2303.18,2271.7,2278.07,27703915
2013-04-23,2271.65,2276.35,2251.8,2273.47,95066306
2013-04-24,2282.98,2289.49,2255.07,2286.71,172084268
2013-04-25,2294.25,2296.92,2268.42,2288.09,182101526
2013-04-26,2290.17,2305.34,2280.57,2294.06,165056583
2013-04-29,2304.01,2312.31,2296.86,2303.18,190825581
2013-04-30,2307.57,2319.15,2277.86,2319.15,153484077
2013-05-02,2315.66,2329.23,2305.25,2305.9,38480697
2013-05-06,2323.45,2339.22,2312.17,2339.22,34398053
2013-05-07,2334.06,2360.18,2330.08,2347.82,29622466
2013-05-08,2352.94,2367.91,2350.27,2367.91,23545958
2013-05-09,2373.45,2376.32,2344.01,2348.95,40552283
2013-05-10,2348.88,2356.83,2332.43,2338.16,25695956
2013-05-13,2332.79,2357.28,2331.35,2354.34,22248183
2013-05-14,2360.01,2391.5,2348.58,2386.81,37086448
2013-05-15,2401.86,2408.86,2384.54,2408.86,27079105
2013-05-16,2404.35,2405.1,2386.66,2390.32,32719434
2013-05-17,2385.95,2404.39,2382.36,2391.07,31185651
2013-05-20,2399.34,2413.42,2376.78,2376.78,24569132
2013-05-21,2387.95,2392.72,2368.6,2370.32,17498383
2013-05-22,2384.49,2385.49,2366.59,2371.95,33208186
2013-05-23,2333.88,2366,2330.01,2359.42,41774935
2013-05-24,2365.83,2394.02,2365.83,2384.58,39843843
2013-05-27,2398,2451.06,2397.84,2451.06,21065087
2013-05-28,2460.62,2488.85,2454.17,2469.37,33711707
2013-05-29,2460.67,2476.84,2453.84,2463.37,38274112
2013-05-31,2452.28,2485.5,2452.28,2485.5,85871978
2013-06-03,2455.33,2471.68,2439.05,2443.65,32230641
2013-06-04,2453.83,2467.14,2451.9,2462.92,22388902
2013-06-05,2456.38,2473.41,2447.58,2461.51,25987261
2013-06-06,2459.51,2467.03,2444.58,2446.29,33330719
2013-06-07,2448.36,2505.57,2445.28,2488.84,26202724
2013-06-10,2492.19,2512.99,2492.19,2503.41,34371843
2013-06-11,2498.95,2499.93,2473.16,2484.11,24682292
2013-06-12,2484.07,2496.04,2475.94,2481.6,57311708
2013-06-13,2457.15,2482.96,2450.62,2472.75,65353770
2013-06-14,2490.35,2497.1,2474.87,2478.43,34411639
2013-06-17,2484.38,2486.16,2457.96,2463.37,63515470
2013-06-18,2469.67,2472.68,2450.08,2455.15,29491067
2013-06-19,2450.49,2450.49,2412.52,2413.4,28375582
2013-06-20,2390.34,2398.75,2297.91,2297.91,59304171
2013-06-21,2300.11,2317.63,2215.6,2233.64,158063472
2013-06-24,2239.58,2256.87,2225.68,2244.27,30158168
2013-06-25,2254.47,2263.12,2243.15,2246.69,26989143
2013-06-26,2193.97,2262.26,2180.72,2246.66,39418348
2013-06-27,2258.62,2261.24,2150.82,2177.02,38756412
2013-06-28,2182.29,2245.64,2161.32,2245.64,42862322
2013-07-01,2246.74,2258.19,2230.86,2237.25,18086361
2013-07-02,2248.42,2296,2231.14,2284.76,25533882
2013-07-03,2260.29,2275.81,2233.6,2262.92,23847967
2013-07-04,2271.27,2292.4,2258.73,2287.54,12449473
